,Unnamed: 0,Unnamed: 0.1,date,salinity,Unnamed: 0,water1,air pressure,date
0,770,770,2020-10-27,0.17,0,1.11,1008.5217391304352,2020-10-27
1,771,771,2020-10-28,0.16,1,1.07,1008.1521739130436,2020-10-28
2,772,772,2020-10-29,0.17,2,0.84,1007.4739130434784,2020-10-29
3,773,773,2020-10-30,0.18,3,1.13,1009.8391304347828,2020-10-30
4,774,774,2020-10-31,0.16,4,1.22,1011.1217391304348,2020-10-31
5,775,775,2020-11-01,0.18,5,1.08,1011.4304347826088,2020-11-01
6,776,776,2020-11-02,0.17,6,1.24,1011.1956521739132,2020-11-02
7,777,777,2020-11-03,0.18,7,1.49,1011.408695652174,2020-11-03
8,778,778,2020-11-04,0.18,8,1.24,1011.5521739130432,2020-11-04
9,779,779,2020-11-05,0.19,9,1.22,1011.4391304347826,2020-11-05
10,780,780,2020-11-06,0.18,10,1.16,1011.4391304347826,2020-11-06
11,781,781,2020-11-07,0.19,11,1.08,1012.3652173913044,2020-11-07
12,782,782,2020-11-08,0.19,12,1.06,1012.8391304347824,2020-11-08
13,783,783,2020-11-09,0.19,13,1.21,1011.5608695652174,2020-11-09
14,784,784,2020-11-10,0.19,14,0.97,1010.6739130434784,2020-11-10
15,785,785,2020-11-11,0.2,15,0.74,1012.3304347826088,2020-11-11
16,786,786,2020-11-12,0.2,16,1.31,1013.108695652174,2020-11-12
17,787,787,2020-11-13,1.14,17,1.32,1011.3130434782612,2020-11-13
18,788,788,2020-11-14,0.24,18,1.07,1010.3956521739128,2020-11-14
19,789,789,2020-11-15,0.25,19,1.21,1010.7652173913044,2020-11-15
20,790,790,2020-11-16,0.27,20,1.4,1011.2130434782608,2020-11-16
21,791,791,2020-11-17,0.44,21,1.54,1009.8260869565216,2020-11-17
22,792,792,2020-11-18,0.41,22,1.63,1008.9304347826088,2020-11-18
23,793,793,2020-11-19,0.28,23,1.34,1008.1478260869566,2020-11-19
24,794,794,2020-11-20,0.31,24,1.36,1008.8695652173916,2020-11-20
25,795,795,2020-11-21,0.26,25,1.25,1009.7434782608696,2020-11-21
26,796,796,2020-11-22,0.22,26,1.13,1011.3956521739132,2020-11-22
27,797,797,2020-11-23,0.22,27,1.01,1011.6260869565218,2020-11-23
28,798,798,2020-11-24,0.23,28,1.09,1011.1956521739128,2020-11-24
29,799,799,2020-11-25,0.21,29,0.91,1010.6608695652176,2020-11-25
30,800,800,2020-11-26,0.62,30,0.82,1011.3347826086956,2020-11-26
31,801,801,2020-11-27,2.53,31,0.94,1012.2043478260867,2020-11-27
32,802,802,2020-11-28,3.1,32,0.82,1012.2608695652174,2020-11-28
33,803,803,2020-11-29,2.18,33,0.81,1012.1043478260868,2020-11-29
34,804,804,2020-11-30,2.15,34,0.97,1012.1347826086956,2020-11-30
35,805,805,2020-12-01,2.9,35,1.12,1012.8869565217392,2020-12-01
36,806,806,2020-12-02,2.51,36,1.07,1011.8272727272728,2020-12-02
37,807,807,2020-12-03,4.95,37,1.42,1011.7565217391304,2020-12-03
38,808,808,2020-12-04,4.92,38,1.29,1012.3,2020-12-04
39,809,809,2020-12-05,3.67,39,1.2,1013.5217391304348,2020-12-05
40,810,810,2020-12-06,2.74,40,1.1,1013.3695652173913,2020-12-06
41,811,811,2020-12-07,2.65,41,1.11,1013.1521739130436,2020-12-07
42,812,812,2020-12-08,2.56,42,1.06,1012.7434782608692,2020-12-08
43,813,813,2020-12-09,2.02,43,1.03,1011.4739130434782,2020-12-09
44,814,814,2020-12-10,2.39,44,1.07,1010.8956521739128,2020-12-10
45,815,815,2020-12-11,1.94,45,0.93,1010.4,2020-12-11
46,816,816,2020-12-12,4.09,46,0.95,1009.3739130434784,2020-12-12
47,817,817,2020-12-13,4.88,47,1.02,1008.5304347826086,2020-12-13
48,818,818,2020-12-14,4.55,48,1.06,1009.708695652174,2020-12-14
49,819,819,2020-12-15,5.67,49,1.31,1011.05652173913,2020-12-15
50,820,820,2020-12-16,5.91,50,1.4,1012.0478260869568,2020-12-16
51,821,821,2020-12-17,6.05,51,1.35,1011.4409090909091,2020-12-17
52,822,822,2020-12-18,5.49,52,1.35,1011.3739130434782,2020-12-18
53,823,823,2020-12-19,5.01,53,1.18,1012.2652173913044,2020-12-19
54,824,824,2020-12-20,4.54,54,1.14,1013.726086956522,2020-12-20
55,825,825,2020-12-21,4.25,55,0.95,1013.7347826086954,2020-12-21
56,826,826,2020-12-22,3.69,56,0.94,1012.4608695652172,2020-12-22
57,827,827,2020-12-23,3.74,57,0.89,1010.6,2020-12-23
58,828,828,2020-12-24,4.96,58,0.9,1009.513043478261,2020-12-24
59,829,829,2020-12-25,9.02,59,0.87,1010.1869565217391,2020-12-25
