,Unnamed: 0,Unnamed: 0.1,date,salinity,Unnamed: 0,water1,air pressure,date
0,950,950,2020-07-27,0.27,0.0,1.56,1011.2304347826088,2020-01-29
1,951,951,2020-07-28,0.27,1.0,1.57,1010.9086956521738,2020-01-30
2,952,952,2020-07-29,0.28,2.0,1.71,1011.7652173913046,2020-01-31
3,953,953,2020-07-30,0.28,3.0,1.77,1011.9565217391304,2020-02-01
4,954,954,2020-07-31,0.28,4.0,1.54,1013.1217391304352,2020-02-02
5,955,955,2020-08-01,0.29,5.0,1.34,1012.195652173913,2020-02-03
6,956,956,2020-08-02,0.3,6.0,1.35,1011.2304347826088,2020-02-04
7,957,957,2020-08-03,0.3,7.0,1.35,1010.7565217391304,2020-02-05
8,958,958,2020-08-04,0.3,8.0,1.55,1011.5434782608696,2020-02-06
9,959,959,2020-08-05,0.3,9.0,1.66,1012.0304347826086,2020-02-07
10,960,960,2020-08-06,0.3,10.0,1.68,1012.4695652173912,2020-02-08
11,961,961,2020-08-07,0.29,11.0,1.8,1013.0,2020-02-09
12,962,962,2020-08-08,0.29,12.0,1.96,1012.726086956522,2020-02-10
13,963,963,2020-08-09,0.29,13.0,1.83,1012.5,2020-02-11
14,964,964,2020-08-10,0.29,14.0,1.85,1012.2217391304348,2020-02-12
15,965,965,2020-08-11,0.29,15.0,1.78,1011.1347826086956,2020-02-13
16,966,966,2020-08-12,0.29,16.0,1.78,1009.0363636363636,2020-02-14
17,967,967,2020-08-13,0.29,17.0,1.65,1009.9695652173912,2020-02-15
18,968,968,2020-08-14,0.29,18.0,1.53,1011.2608695652176,2020-02-16
19,969,969,2020-08-15,0.3,19.0,1.39,1012.0869565217392,2020-02-17
20,970,970,2020-08-16,0.31,20.0,1.51,1013.3434782608696,2020-02-18
21,971,971,2020-08-17,0.31,21.0,1.7,1013.5913043478264,2020-02-19
22,972,972,2020-08-18,0.32,22.0,1.52,1013.108695652174,2020-02-20
23,973,973,2020-08-19,0.32,23.0,1.65,1014.9565217391304,2020-02-21
24,974,974,2020-08-20,0.32,24.0,1.71,1015.0045454545456,2020-02-22
25,975,975,2020-08-21,0.32,25.0,1.7,1014.2608695652174,2020-02-23
26,976,976,2020-08-22,0.32,26.0,1.66,1012.0260869565216,2020-02-24
27,977,977,2020-08-23,0.32,27.0,1.77,1010.7217391304348,2020-02-25
28,978,978,2020-08-24,0.32,28.0,1.53,1010.9173913043478,2020-02-26
29,979,979,2020-08-25,0.33,29.0,1.71,1010.1695652173912,2020-02-27
30,980,980,2020-08-26,0.33,30.0,1.78,1009.5695652173912,2020-02-28
31,981,981,2020-08-27,0.33,31.0,1.56,1009.1428571428572,2020-02-29
32,982,982,2020-08-28,0.34,32.0,1.41,1009.4434782608696,2020-03-01
33,983,983,2020-08-29,0.35,33.0,1.45,1009.2608695652174,2020-03-02
34,984,984,2020-08-30,0.35,34.0,1.45,1009.4304347826086,2020-03-03
35,985,985,2020-08-31,0.35,35.0,1.34,1009.6391304347828,2020-03-04
36,986,986,2020-09-01,0.34,36.0,1.22,1009.7869565217392,2020-03-05
37,987,987,2020-09-02,0.34,37.0,1.52,1011.3086956521736,2020-03-06
38,988,988,2020-09-03,0.34,38.0,1.46,1011.0952380952376,2020-03-07
39,989,989,2020-09-04,0.33,39.0,1.69,1008.5956521739128,2020-03-08
40,990,990,2020-09-05,0.33,40.0,1.58,1006.517391304348,2020-03-09
41,991,991,2020-09-06,0.32,41.0,1.66,1006.7565217391304,2020-03-10
42,992,992,2020-09-07,0.32,42.0,1.68,1008.508695652174,2020-03-11
43,993,993,2020-09-08,0.32,43.0,1.67,1010.3739130434782,2020-03-12
44,994,994,2020-09-09,0.31,44.0,1.71,1010.7608695652174,2020-03-13
45,995,995,2020-09-10,0.3,45.0,1.54,1009.3349999999998,2020-03-14
46,996,996,2020-09-11,0.3,46.0,1.61,1010.8217391304348,2020-03-15
47,997,997,2020-09-12,0.29,47.0,1.55,1011.2608695652174,2020-03-16
48,998,998,2020-09-13,0.29,48.0,1.42,1011.3565217391306,2020-03-17
49,999,999,2020-09-14,0.29,49.0,1.25,1009.6217391304348,2020-03-18
50,1000,1000,2020-09-15,0.28,50.0,1.47,1009.0347826086952,2020-03-19
51,1001,1001,2020-09-16,0.29,51.0,1.46,1009.6260869565218,2020-03-20
52,1002,1002,2020-09-17,0.28,52.0,1.56,1010.4619047619047,2020-03-21
53,1003,1003,2020-09-18,0.26,53.0,1.57,1009.5999999999998,2020-03-22
54,1004,1004,2020-09-19,0.28,54.0,1.56,1008.8739130434784,2020-03-23
55,1005,1005,2020-09-20,0.29,55.0,1.49,1007.8608695652174,2020-03-24
56,1006,1006,2020-09-21,0.28,56.0,1.54,1007.6217391304344,2020-03-25
57,1007,1007,2020-09-22,0.26,57.0,1.53,1008.7608695652171,2020-03-26
58,1008,1008,2020-09-23,0.26,58.0,1.51,1008.818181818182,2020-03-27
59,1009,1009,2020-09-24,0.25,,,,
