serial number,salinity,waterlevel,airtempreture,airpressure,latitude,longtitude,collected date
H0,481.0,-26.728658905965858,29.09,1016.48,13.789253,100.50667,01/18/2023 05:48:24
H0,482.0,-24.984904486103915,29.05,1016.27,13.789253,100.50667,01/18/2023 05:48:29
H0,487.0,-28.14005598428048,29.03,1016.65,13.789255,100.50667,01/18/2023 05:48:34
H0,484.0,-26.31350574290991,29.0,1016.43,13.789255,100.50667,01/18/2023 05:48:39
H0,484.0,-27.14379553359322,29.0,1016.53,13.789255,100.50667,01/18/2023 05:48:44
H0,487.0,-27.807979747842182,29.0,1016.61,13.789255,100.50667,01/18/2023 05:48:49
H0,486.0,-27.060769530835387,28.98,1016.52,13.789255,100.50667,01/18/2023 05:48:54
H0,481.0,-28.47212164125085,28.99,1016.69,13.789256,100.50667,01/18/2023 05:48:59
H0,486.0,-27.475892931201088,28.98,1016.57,13.789256,100.50667,01/18/2023 05:49:04
H0,484.0,-27.14379553359322,28.97,1016.53,13.789256,100.50667,01/18/2023 05:49:09
H0,495.0,-24.901861283913604,28.9,1016.26,13.789256,100.50667,01/18/2023 05:49:14
H0,491.0,-21.330377488709928,28.86,1015.83,13.789256,100.50667,01/18/2023 05:49:19
H0,492.0,-24.652727707238228,28.88,1016.23,13.789256,100.50667,01/18/2023 05:49:24
H0,491.0,-22.908625901625783,28.86,1016.02,13.789256,100.50667,01/18/2023 05:49:29
H0,491.0,-21.330377488709928,28.83,1015.83,13.789255,100.50667,01/18/2023 05:49:34
H0,493.0,-26.230473125928256,28.86,1016.42,13.789257,100.50667,01/18/2023 05:49:39
H0,497.0,-27.475892931201088,28.86,1016.57,13.789257,100.50668,01/18/2023 05:49:44
H0,497.0,-26.14743984746019,28.83,1016.41,13.789256,100.50668,01/18/2023 05:49:49
H0,493.0,-23.573080052992736,28.74,1016.1,13.789257,100.50668,01/18/2023 05:49:54
H0,492.0,-26.562599625074654,28.71,1016.46,13.789257,100.50668,01/18/2023 05:49:59
H0,494.0,-24.3205403410102,28.63,1016.19,13.789256,100.50668,01/18/2023 05:50:04
H0,495.0,-26.64562959622708,28.63,1016.47,13.789256,100.50668,01/18/2023 05:50:09
H0,496.0,-19.004101983045985,28.53,1015.55,13.789256,100.50668,01/18/2023 05:50:14
H0,494.0,-24.818817420040432,28.54,1016.25,13.789257,100.50668,01/18/2023 05:50:19
H0,490.0,-25.898336042992014,28.52,1016.38,13.789256,100.50668,01/18/2023 05:50:24
